venta_id,ts,sku,categoria,rider_id,ciudad,monto_ars,canal
S000062,2026-03-04T11:00:00+00:00,SKU011,recarga,R0067,Cordoba,9790,app
S000063,2026-03-20T01:00:00+00:00,SKU015,recarga,R0059,Cordoba,3290,estacion
S000064,2026-02-22T21:00:00+00:00,SKU001,pase,R0004,Buenos Aires,14990,app
S000065,2026-03-06T11:00:00+00:00,SKU003,pase,R0118,Buenos Aires,3490,estacion
S000066,2026-02-02T01:00:00+00:00,SKU018,recarga,R0115,Buenos Aires,3490,web
S000067,2026-02-09T21:00:00+00:00,SKU002,pase,R0051,Buenos Aires,9990,app
S000068,2026-04-14T19:00:00+00:00,SKU036,seguro,R0033,Buenos Aires,9990,app
S000069,2026-04-02T11:00:00+00:00,SKU006,pase,R0117,Cordoba,9790,app
S000070,2026-05-01T18:00:00+00:00,SKU006,pase,R0043,Cordoba,9790,app
S000071,2026-02-24T14:00:00+00:00,SKU029,accesorio,R0117,Buenos Aires,9990,app
S000072,2026-05-03T03:00:00+00:00,SKU003,pase,R0012,Buenos Aires,3490,app
S000073,2026-03-03T18:00:00+00:00,SKU037,seguro,R0071,Cordoba,5790,estacion
S000074,2026-04-30T05:00:00+00:00,SKU002,pase,R0117,Cordoba,3290,app
S000075,2026-01-31T04:00:00+00:00,SKU020,recarga,R0000,Buenos Aires,1990,web
S000076,2026-02-18T22:00:00+00:00,SKU029,accesorio,R0083,Cordoba,1890,app
S000077,2026-04-11T00:00:00+00:00,SKU009,pase,R0021,Buenos Aires,5990,web
S000078,2026-01-26T17:00:00+00:00,SKU012,recarga,R0069,Buenos Aires,1990,web
S000079,2026-04-19T11:00:00+00:00,SKU039,seguro,R0026,Buenos Aires,14990,app
S000080,2026-05-02T12:00:00+00:00,SKU018,recarga,R0059,Cordoba,3290,app
S000081,2026-01-30T08:00:00+00:00,SKU030,accesorio,R0115,Buenos Aires,3490,app
S000082,2026-03-16T11:00:00+00:00,SKU006,pase,R0005,Buenos Aires,9990,web
S000083,2026-04-10T22:00:00+00:00,SKU024,accesorio,R0089,Buenos Aires,1990,web
S000084,2026-02-26T07:00:00+00:00,SKU014,recarga,R0110,Cordoba,3290,web
S000085,2026-05-09T03:00:00+00:00,SKU012,recarga,R0114,Cordoba,1890,app
S000086,2026-03-10T23:00:00+00:00,SKU001,pase,R0053,Cordoba,9790,app
S000087,2026-04-14T14:00:00+00:00,SKU011,recarga,R0083,Cordoba,9790,app
S000088,2026-05-14T18:00:00+00:00,SKU002,pase,R0117,Buenos Aires,9990,web
S000089,2026-05-10T19:00:00+00:00,SKU002,pase,R0058,Buenos Aires,9990,app
S000090,2026-03-20T02:00:00+00:00,SKU021,accesorio,R0058,Cordoba,1890,app
S000091,2026-05-17T08:00:00+00:00,SKU031,seguro,R0086,Cordoba,1890,app
S000092,2026-05-03T00:00:00+00:00,SKU011,recarga,R0028,Cordoba,9790,web
S000093,2026-04-04T08:00:00+00:00,SKU009,pase,R0111,Buenos Aires,5990,app
S000094,2026-01-16T05:00:00+00:00,SKU037,seguro,R0053,Cordoba,5790,app
S000095,2026-01-28T15:00:00+00:00,SKU006,pase,R0054,Buenos Aires,9990,estacion
S000096,2026-05-20T15:00:00+00:00,SKU029,accesorio,R0099,Cordoba,1890,app
S000097,2026-02-19T13:00:00+00:00,SKU005,pase,R0119,Cordoba,5790,app
S000098,2026-01-23T23:00:00+00:00,SKU018,recarga,R0064,Buenos Aires,3490,web
S000099,2026-01-20T06:00:00+00:00,SKU036,seguro,R0086,Cordoba,3290,web
S000100,2026-02-27T06:00:00+00:00,SKU012,recarga,R0090,Buenos Aires,1990,app
S000101,2026-01-22T02:00:00+00:00,SKU002,pase,R0064,Buenos Aires,9990,app
S000102,2026-05-21T16:00:00+00:00,SKU023,accesorio,R0069,Cordoba,5790,estacion
S000103,2026-02-16T22:00:00+00:00,SKU006,pase,R0024,Buenos Aires,9990,app
S000104,2026-01-17T08:00:00+00:00,SKU037,seguro,R0030,Buenos Aires,14990,app
S000105,2026-02-09T04:00:00+00:00,SKU004,pase,R0084,Buenos Aires,9990,app
S000106,2026-03-30T14:00:00+00:00,SKU016,recarga,R0032,Buenos Aires,5990,app
S000107,2026-02-25T17:00:00+00:00,SKU018,recarga,R0034,Buenos Aires,3490,app
S000108,2026-06-07T04:00:00+00:00,SKU003,pase,R0007,Cordoba,1890,app
S000109,2026-02-13T05:00:00+00:00,SKU028,accesorio,R0035,Buenos Aires,5990,app
S000110,2026-03-29T16:00:00+00:00,SKU034,seguro,R0057,Buenos Aires,1990,web
S000111,2026-06-10T14:00:00+00:00,SKU012,recarga,R0101,Buenos Aires,1990,app
S000112,2026-06-09T13:00:00+00:00,SKU036,seguro,R0027,Buenos Aires,9990,estacion
S000113,2026-04-15T00:00:00+00:00,SKU015,recarga,R0093,Buenos Aires,9990,estacion
S000114,2026-04-13T13:00:00+00:00,SKU016,recarga,R0000,Cordoba,1890,web
S000115,2026-03-07T15:00:00+00:00,SKU005,pase,R0055,Cordoba,5790,estacion
S000116,2026-04-16T04:00:00+00:00,SKU024,accesorio,R0043,Cordoba,5790,web
S000117,2026-04-24T10:00:00+00:00,SKU017,recarga,R0093,Buenos Aires,5990,estacion
S000118,2026-05-09T04:00:00+00:00,SKU010,pase,R0083,Cordoba,1890,app
S000119,2026-05-15T04:00:00+00:00,SKU019,recarga,R0035,Cordoba,5790,app
S000120,2026-03-01T13:00:00+00:00,SKU009,pase,R0025,Buenos Aires,5990,estacion
S000121,2026-01-27T21:00:00+00:00,SKU019,recarga,R0052,Buenos Aires,3490,app
S000122,2026-04-30T12:00:00+00:00,SKU023,accesorio,R0007,Cordoba,5790,app
S000123,2026-01-20T20:00:00+00:00,SKU010,pase,R0033,Cordoba,1890,app
S000124,2026-05-15T11:00:00+00:00,SKU015,recarga,R0096,Cordoba,3290,estacion
S000125,2026-01-29T04:00:00+00:00,SKU011,recarga,R0087,Buenos Aires,3490,web
S000126,2026-04-26T08:00:00+00:00,SKU015,recarga,R0035,Buenos Aires,9990,app
S000127,2026-03-26T14:00:00+00:00,SKU009,pase,R0042,Buenos Aires,5990,web
S000128,2026-01-24T04:00:00+00:00,SKU011,recarga,R0047,Cordoba,9790,app
S000129,2026-05-05T23:00:00+00:00,SKU011,recarga,R0002,Buenos Aires,3490,web
S000130,2026-02-15T10:00:00+00:00,SKU031,seguro,R0050,Cordoba,1890,app
S000131,2026-05-20T00:00:00+00:00,SKU016,recarga,R0101,Buenos Aires,5990,web
S000132,2026-06-01T08:00:00+00:00,SKU018,recarga,R0063,Cordoba,3290,app
S000133,2026-05-01T19:00:00+00:00,SKU023,accesorio,R0053,Buenos Aires,14990,app
S000134,2026-05-14T12:00:00+00:00,SKU015,recarga,R0016,Buenos Aires,9990,app
S000135,2026-03-03T02:00:00+00:00,SKU027,accesorio,R0046,Cordoba,3290,web
S000136,2026-05-25T09:00:00+00:00,SKU015,recarga,R0012,Cordoba,3290,estacion
S000137,2026-03-22T11:00:00+00:00,SKU022,accesorio,R0013,Buenos Aires,1990,web
S000138,2026-05-25T23:00:00+00:00,SKU032,seguro,R0042,Cordoba,9790,estacion
S000139,2026-02-14T12:00:00+00:00,SKU040,seguro,R0043,Buenos Aires,5990,web
S000140,2026-01-26T04:00:00+00:00,SKU022,accesorio,R0024,Buenos Aires,1990,app
S000141,2026-05-27T19:00:00+00:00,SKU028,accesorio,R0061,Buenos Aires,5990,app
S000142,2026-02-23T01:00:00+00:00,SKU036,seguro,R0049,Cordoba,3290,app
S000143,2026-04-21T08:00:00+00:00,SKU021,accesorio,R0000,Buenos Aires,9990,app
S000144,2026-02-19T11:00:00+00:00,SKU040,seguro,R0084,Buenos Aires,5990,web
S000145,2026-05-25T00:00:00+00:00,SKU028,accesorio,R0084,Cordoba,9790,web
S000146,2026-05-14T09:00:00+00:00,SKU028,accesorio,R0107,Cordoba,9790,app
S000147,2026-04-03T12:00:00+00:00,SKU029,accesorio,R0099,Cordoba,1890,app
S000148,2026-01-19T12:00:00+00:00,SKU039,seguro,R0102,Buenos Aires,14990,app
S000149,2026-02-02T03:00:00+00:00,SKU032,seguro,R0103,Cordoba,9790,estacion
S000150,2026-06-10T22:00:00+00:00,SKU028,accesorio,R0074,Buenos Aires,5990,app
S000151,2026-04-22T09:00:00+00:00,SKU035,seguro,R0029,Cordoba,9790,estacion
S000152,2026-02-20T14:00:00+00:00,SKU015,recarga,R0075,Buenos Aires,9990,app
S000153,2026-04-30T02:00:00+00:00,SKU029,accesorio,R0024,Buenos Aires,9990,web
S000154,2026-03-03T18:00:00+00:00,SKU034,seguro,R0053,Buenos Aires,1990,web
S000155,2026-05-25T05:00:00+00:00,SKU030,accesorio,R0007,Cordoba,3290,estacion
S000156,2026-02-06T12:00:00+00:00,SKU018,recarga,R0018,Buenos Aires,3490,web
S000157,2026-04-25T23:00:00+00:00,SKU006,pase,R0052,Cordoba,9790,app
S000158,2026-03-04T11:00:00+00:00,SKU021,accesorio,R0092,Buenos Aires,9990,app
S000159,2026-01-31T23:00:00+00:00,SKU010,pase,R0111,Buenos Aires,9990,app
S000160,2026-04-26T11:00:00+00:00,SKU020,recarga,R0046,Buenos Aires,1990,app
S000161,2026-06-01T23:00:00+00:00,SKU021,accesorio,R0043,Cordoba,1890,app
S000162,2026-04-06T03:00:00+00:00,SKU020,recarga,R0061,Buenos Aires,1990,app
S000163,2026-03-27T03:00:00+00:00,SKU024,accesorio,R0025,Cordoba,5790,app
S000164,2026-04-26T03:00:00+00:00,SKU015,recarga,R0064,Cordoba,3290,estacion
S000165,2026-06-09T14:00:00+00:00,SKU010,pase,R0096,Cordoba,1890,estacion
S000166,2026-06-06T21:00:00+00:00,SKU021,accesorio,R0019,Cordoba,1890,app
S000167,2026-05-20T01:00:00+00:00,SKU023,accesorio,R0113,Buenos Aires,14990,estacion
S000168,2026-05-24T09:00:00+00:00,SKU015,recarga,R0025,Buenos Aires,9990,estacion
S000169,2026-05-16T04:00:00+00:00,SKU033,seguro,R0118,Buenos Aires,5990,web
S000170,2026-05-07T04:00:00+00:00,SKU019,recarga,R0097,Buenos Aires,3490,estacion
S000171,2026-04-10T00:00:00+00:00,SKU022,accesorio,R0017,Cordoba,3290,estacion
S000172,2026-03-05T03:00:00+00:00,SKU037,seguro,R0012,Buenos Aires,14990,app
S000173,2026-04-28T04:00:00+00:00,SKU001,pase,R0107,Cordoba,9790,app
S000174,2026-01-16T22:00:00+00:00,SKU025,accesorio,R0005,Cordoba,9790,estacion
S000175,2026-06-03T22:00:00+00:00,SKU026,accesorio,R0051,Buenos Aires,9990,app
S000176,2026-03-29T00:00:00+00:00,SKU017,recarga,R0095,Cordoba,1890,web
S000177,2026-01-19T18:00:00+00:00,SKU034,seguro,R0117,Buenos Aires,1990,app
S000178,2026-05-07T00:00:00+00:00,SKU034,seguro,R0101,Cordoba,5790,web
S000179,2026-02-20T11:00:00+00:00,SKU021,accesorio,R0049,Buenos Aires,9990,estacion
S000180,2026-03-26T14:00:00+00:00,SKU017,recarga,R0062,Cordoba,1890,app
S000181,2026-03-02T12:00:00+00:00,SKU015,recarga,R0060,Buenos Aires,9990,app
S000182,2026-05-11T01:00:00+00:00,SKU030,accesorio,R0105,Buenos Aires,3490,web
S000183,2026-03-13T07:00:00+00:00,SKU027,accesorio,R0007,Buenos Aires,9990,web
S000184,2026-03-15T05:00:00+00:00,SKU022,accesorio,R0024,Cordoba,3290,app
S000185,2026-03-18T03:00:00+00:00,SKU019,recarga,R0009,Buenos Aires,3490,estacion
S000186,2026-05-17T22:00:00+00:00,SKU021,accesorio,R0002,Buenos Aires,9990,app
S000187,2026-06-01T00:00:00+00:00,SKU015,recarga,R0070,Buenos Aires,9990,estacion
S000188,2026-02-06T15:00:00+00:00,SKU017,recarga,R0094,Cordoba,1890,app
S000189,2026-04-16T01:00:00+00:00,SKU032,seguro,R0063,Cordoba,9790,web
S000190,2026-03-10T23:00:00+00:00,SKU029,accesorio,R0110,Cordoba,1890,web
S000191,2026-04-13T02:00:00+00:00,SKU008,pase,R0022,Buenos Aires,1990,app
S000192,2026-06-06T05:00:00+00:00,SKU036,seguro,R0067,Cordoba,3290,app
S000193,2026-02-05T13:00:00+00:00,SKU010,pase,R0067,Buenos Aires,9990,app
S000194,2026-06-12T18:00:00+00:00,SKU011,recarga,R0058,Buenos Aires,3490,web
S000195,2026-03-10T12:00:00+00:00,SKU038,seguro,R0106,Buenos Aires,1990,app
S000196,2026-06-05T14:00:00+00:00,SKU019,recarga,R0098,Cordoba,5790,estacion
S000197,2026-03-06T22:00:00+00:00,SKU023,accesorio,R0001,Cordoba,5790,app
S000198,2026-04-20T22:00:00+00:00,SKU002,pase,R0080,Buenos Aires,9990,app
S000199,2026-06-02T08:00:00+00:00,SKU003,pase,R0069,Cordoba,1890,app
S000200,2026-04-15T13:00:00+00:00,SKU025,accesorio,R0099,Cordoba,9790,app
S000201,2026-03-05T05:00:00+00:00,SKU024,accesorio,R0093,Cordoba,5790,app
S000202,2026-02-14T01:00:00+00:00,SKU027,accesorio,R0112,Cordoba,3290,app
S000203,2026-02-07T05:00:00+00:00,SKU027,accesorio,R0021,Cordoba,3290,app
S000204,2026-02-14T18:00:00+00:00,SKU037,seguro,R0066,Cordoba,5790,app
S000205,2026-02-18T08:00:00+00:00,SKU017,recarga,R0070,Cordoba,1890,app
S000206,2026-01-20T07:00:00+00:00,SKU003,pase,R0076,Buenos Aires,3490,app
S000207,2026-04-02T02:00:00+00:00,SKU008,pase,R0072,Buenos Aires,1990,app
S000208,2026-06-01T16:00:00+00:00,SKU008,pase,R0115,Buenos Aires,1990,app
S000209,2026-05-16T20:00:00+00:00,SKU003,pase,R0014,Cordoba,1890,app
S000210,2026-05-11T12:00:00+00:00,SKU027,accesorio,R0089,Buenos Aires,9990,estacion
S000211,2026-02-10T23:00:00+00:00,SKU035,seguro,R0031,Cordoba,9790,estacion
S000212,2026-03-22T15:00:00+00:00,SKU027,accesorio,R0055,Buenos Aires,9990,app
S000213,2026-04-26T00:00:00+00:00,SKU037,seguro,R0039,Buenos Aires,14990,app
S000214,2026-04-10T19:00:00+00:00,SKU037,seguro,R0046,Buenos Aires,14990,estacion
S000215,2026-01-27T22:00:00+00:00,SKU031,seguro,R0117,Cordoba,1890,web
S000216,2026-04-14T01:00:00+00:00,SKU035,seguro,R0081,Buenos Aires,1990,app
S000217,2026-03-16T05:00:00+00:00,SKU037,seguro,R0071,Cordoba,5790,estacion
S000218,2026-03-02T06:00:00+00:00,SKU024,accesorio,R0019,Cordoba,5790,web
S000219,2026-05-14T00:00:00+00:00,SKU005,pase,R0071,Cordoba,5790,app
S000220,2026-04-27T15:00:00+00:00,SKU001,pase,R0001,Buenos Aires,14990,web
S000221,2026-02-24T13:00:00+00:00,SKU026,accesorio,R0092,Cordoba,3290,app
S000222,2026-02-05T22:00:00+00:00,SKU002,pase,R0061,Cordoba,3290,app
S000223,2026-01-25T22:00:00+00:00,SKU022,accesorio,R0051,Cordoba,3290,web
S000224,2026-03-17T04:00:00+00:00,SKU010,pase,R0054,Cordoba,1890,app
S000225,2026-03-07T12:00:00+00:00,SKU028,accesorio,R0092,Cordoba,9790,app
S000226,2026-05-06T23:00:00+00:00,SKU020,recarga,R0017,Cordoba,5790,app
S000227,2026-06-02T05:00:00+00:00,SKU018,recarga,R0103,Cordoba,3290,estacion
S000228,2026-05-22T14:00:00+00:00,SKU031,seguro,R0101,Buenos Aires,9990,estacion
S000229,2026-03-02T03:00:00+00:00,SKU034,seguro,R0078,Cordoba,5790,app
S000230,2026-03-01T19:00:00+00:00,SKU006,pase,R0110,Buenos Aires,9990,app
S000231,2026-05-08T23:00:00+00:00,SKU016,recarga,R0020,Cordoba,1890,web
S000232,2026-01-27T11:00:00+00:00,SKU029,accesorio,R0109,Cordoba,1890,app
S000233,2026-05-03T03:00:00+00:00,SKU028,accesorio,R0040,Cordoba,9790,web
S000234,2026-02-18T09:00:00+00:00,SKU037,seguro,R0053,Cordoba,5790,app
S000235,2026-05-26T18:00:00+00:00,SKU026,accesorio,R0091,Buenos Aires,9990,estacion
S000236,2026-03-11T12:00:00+00:00,SKU027,accesorio,R0048,Buenos Aires,9990,app
S000237,2026-04-17T08:00:00+00:00,SKU023,accesorio,R0082,Cordoba,5790,web
S000238,2026-04-23T15:00:00+00:00,SKU006,pase,R0070,Cordoba,9790,web
S000239,2026-01-29T10:00:00+00:00,SKU039,seguro,R0057,Buenos Aires,14990,web
S000240,2026-03-04T07:00:00+00:00,SKU027,accesorio,R0108,Cordoba,3290,app
S000241,2026-03-01T14:00:00+00:00,SKU002,pase,R0099,Cordoba,3290,estacion
S000242,2026-03-22T05:00:00+00:00,SKU032,seguro,R0088,Buenos Aires,5990,web
S000243,2026-06-01T17:00:00+00:00,SKU018,recarga,R0023,Cordoba,3290,app
S000244,2026-02-06T09:00:00+00:00,SKU031,seguro,R0119,Cordoba,1890,app
S000245,2026-01-24T20:00:00+00:00,SKU005,pase,R0020,Buenos Aires,5990,web
S000246,2026-02-15T02:00:00+00:00,SKU013,recarga,R0058,Cordoba,5790,web
S000247,2026-03-08T03:00:00+00:00,SKU036,seguro,R0071,Buenos Aires,9990,app
S000248,2026-03-15T04:00:00+00:00,SKU029,accesorio,R0031,Buenos Aires,9990,app
S000249,2026-04-17T13:00:00+00:00,SKU021,accesorio,R0112,Buenos Aires,9990,app
S000250,2026-03-08T05:00:00+00:00,SKU003,pase,R0016,Buenos Aires,3490,app
S000251,2026-01-27T00:00:00+00:00,SKU017,recarga,R0119,Cordoba,1890,estacion
S000252,2026-01-31T13:00:00+00:00,SKU025,accesorio,R0055,Buenos Aires,1990,app
S000253,2026-05-01T01:00:00+00:00,SKU023,accesorio,R0025,Cordoba,5790,app
S000254,2026-06-09T01:00:00+00:00,SKU011,recarga,R0046,Buenos Aires,3490,estacion
S000255,2026-06-02T23:00:00+00:00,SKU024,accesorio,R0044,Cordoba,5790,app
S000256,2026-03-10T03:00:00+00:00,SKU010,pase,R0088,Buenos Aires,9990,app
S000257,2026-03-17T16:00:00+00:00,SKU004,pase,R0107,Cordoba,1890,estacion
S000258,2026-05-21T10:00:00+00:00,SKU015,recarga,R0115,Cordoba,3290,app
S000259,2026-02-21T10:00:00+00:00,SKU022,accesorio,R0060,Buenos Aires,1990,estacion
S000260,2026-02-09T20:00:00+00:00,SKU018,recarga,R0045,Buenos Aires,3490,web
S000261,2026-04-29T13:00:00+00:00,SKU002,pase,R0077,Cordoba,3290,app
S000262,2026-02-20T10:00:00+00:00,SKU038,seguro,R0056,Cordoba,3290,web
S000263,2026-02-20T22:00:00+00:00,SKU027,accesorio,R0090,Buenos Aires,9990,web
S000264,2026-05-29T15:00:00+00:00,SKU040,seguro,R0058,Cordoba,5790,estacion
S000265,2026-04-25T09:00:00+00:00,SKU015,recarga,R0052,Buenos Aires,9990,app
S000266,2026-06-12T04:00:00+00:00,SKU021,accesorio,R0028,Cordoba,1890,estacion
S000267,2026-05-11T19:00:00+00:00,SKU021,accesorio,R0100,Buenos Aires,9990,app
S000268,2026-05-07T07:00:00+00:00,SKU009,pase,R0112,Buenos Aires,5990,app
S000269,2026-03-13T18:00:00+00:00,SKU010,pase,R0036,Cordoba,1890,estacion
S000270,2026-04-28T06:00:00+00:00,SKU010,pase,R0060,Buenos Aires,9990,app
S000271,2026-01-16T01:00:00+00:00,SKU036,seguro,R0108,Cordoba,3290,web
S000272,2026-04-10T10:00:00+00:00,SKU021,accesorio,R0006,Buenos Aires,9990,estacion
S000273,2026-02-21T19:00:00+00:00,SKU003,pase,R0117,Cordoba,1890,app
S000274,2026-02-25T23:00:00+00:00,SKU001,pase,R0019,Buenos Aires,14990,app
S000275,2026-03-12T01:00:00+00:00,SKU005,pase,R0022,Cordoba,5790,estacion
S000276,2026-04-05T13:00:00+00:00,SKU005,pase,R0018,Cordoba,5790,estacion
S000277,2026-05-24T12:00:00+00:00,SKU039,seguro,R0027,Buenos Aires,14990,estacion
S000278,2026-04-05T13:00:00+00:00,SKU016,recarga,R0032,Cordoba,1890,app
S000279,2026-06-09T18:00:00+00:00,SKU037,seguro,R0039,Buenos Aires,14990,web
S000280,2026-01-25T06:00:00+00:00,SKU008,pase,R0050,Cordoba,9790,app
S000281,2026-06-11T09:00:00+00:00,SKU020,recarga,R0086,Cordoba,5790,app
S000282,2026-01-19T10:00:00+00:00,SKU039,seguro,R0078,Buenos Aires,14990,app
S000283,2026-01-18T23:00:00+00:00,SKU005,pase,R0082,Buenos Aires,5990,web
S000284,2026-05-11T23:00:00+00:00,SKU004,pase,R0069,Buenos Aires,9990,app
S000285,2026-04-25T21:00:00+00:00,SKU017,recarga,R0005,Cordoba,1890,web
S000286,2026-03-17T23:00:00+00:00,SKU033,seguro,R0006,Buenos Aires,5990,app
S000287,2026-05-04T12:00:00+00:00,SKU039,seguro,R0096,Buenos Aires,14990,estacion
S000288,2026-04-11T00:00:00+00:00,SKU026,accesorio,R0084,Cordoba,3290,app
S000289,2026-02-10T14:00:00+00:00,SKU029,accesorio,R0018,Buenos Aires,9990,app
S000290,2026-01-28T10:00:00+00:00,SKU029,accesorio,R0042,Buenos Aires,9990,app
S000291,2026-03-18T18:00:00+00:00,SKU010,pase,R0051,Cordoba,1890,app
S000292,2026-02-18T17:00:00+00:00,SKU008,pase,R0099,Buenos Aires,1990,estacion
S000293,2026-02-08T18:00:00+00:00,SKU036,seguro,R0069,Cordoba,3290,app
S000294,2026-02-26T21:00:00+00:00,SKU003,pase,R0089,Buenos Aires,3490,app
S000295,2026-03-25T13:00:00+00:00,SKU018,recarga,R0029,Cordoba,3290,estacion
S000296,2026-04-21T04:00:00+00:00,SKU038,seguro,R0018,Buenos Aires,1990,app
S000297,2026-02-12T06:00:00+00:00,SKU040,seguro,R0006,Buenos Aires,5990,web
S000298,2026-02-14T18:00:00+00:00,SKU027,accesorio,R0078,Buenos Aires,9990,app
